PERMNO,date,TICKER,PRC,RETX
29890,2010/01/27,BP,58.06000,-0.007352
29890,2010/01/28,BP,57.33000,-0.012573
29890,2010/01/29,BP,56.12000,-0.021106
29890,2010/02/01,BP,57.23000,0.019779
29890,2010/02/02,BP,55.46000,-0.030928
29890,2010/02/03,BP,55.17000,-0.005229
29890,2010/02/04,BP,53.48000,-0.030633
29890,2010/02/05,BP,53.18000,-0.005610
29890,2010/02/08,BP,52.43000,-0.014103
29890,2010/02/09,BP,53.61000,0.022506
29890,2010/02/10,BP,53.65000,0.000746
29890,2010/02/11,BP,54.80000,0.021435
29890,2010/02/12,BP,54.67000,-0.002372
29890,2010/02/16,BP,55.95000,0.023413
29890,2010/02/17,BP,54.24000,-0.030563
29890,2010/02/18,BP,54.74000,0.009218
29890,2010/02/19,BP,54.30000,-0.008038
29890,2010/02/22,BP,54.25000,-0.000921
29890,2010/02/23,BP,53.22000,-0.018986
29890,2010/02/24,BP,53.58000,0.006764
29890,2010/02/25,BP,52.89000,-0.012878
29890,2010/02/26,BP,53.21000,0.006050
29890,2010/03/01,BP,53.98000,0.014471
29890,2010/03/02,BP,54.00000,0.000371
29890,2010/03/03,BP,54.86000,0.015926
29890,2010/03/04,BP,55.09000,0.004192
29890,2010/03/05,BP,55.78000,0.012525
29890,2010/03/08,BP,56.17000,0.006992
29890,2010/03/09,BP,56.04000,-0.002314
29890,2010/03/10,BP,56.19000,0.002677
29890,2010/03/11,BP,56.60000,0.007297
29890,2010/03/12,BP,56.86000,0.004594
29890,2010/03/15,BP,56.58000,-0.004924
29890,2010/03/16,BP,57.18000,0.010604
29890,2010/03/17,BP,58.15000,0.016964
29890,2010/03/18,BP,58.15000,0.000000
29890,2010/03/19,BP,57.69000,-0.007911
29890,2010/03/22,BP,57.35000,-0.005894
29890,2010/03/23,BP,57.95000,0.010462
29890,2010/03/24,BP,57.23000,-0.012425
29890,2010/03/25,BP,56.53000,-0.012231
29890,2010/03/26,BP,56.69000,0.002830
29890,2010/03/29,BP,56.89000,0.003528
29890,2010/03/30,BP,56.83000,-0.001055
29890,2010/03/31,BP,57.07000,0.004223
29890,2010/04/01,BP,57.74000,0.011740
